gsr,temperature,bpm,label
5.41,34.54,77,Anxious
4.11,35.15,73,Calm
3.04,35.63,68,Calm
3.84,35.9,75,Calm
5.67,35.13,78,Anxious
4.21,36.01,66,Relax
4.44,35.23,70,Calm
3.54,35.57,70,Calm
6.09,35.71,73,Anxious
3.83,36.57,70,Relax
5.87,35.79,72,Anxious
3.43,35.34,66,Calm
3.57,37.3,67,Relax
5.56,35.05,76,Anxious
6.03,35.55,72,Anxious
6.09,34.76,75,Anxious
6.35,36.9,87,Stress
6.16,35.76,77,Anxious
3.6,37.21,61,Relax
4.31,36.41,70,Calm
4.33,35.75,75,Calm
4.99,36.9,88,Stress
5.88,35.14,81,Anxious
3.76,36.5,66,Calm
5.23,35.79,75,Anxious
5.1,35.13,82,Anxious
5.0,37.2,80,Stress
6.33,34.67,78,Anxious
5.44,35.01,75,Anxious
6.25,37.93,88,Stress
3.76,37.14,61,Relax
3.96,36.45,69,Relax
3.24,35.56,73,Calm
3.73,36.9,61,Relax
4.25,37.32,64,Relax
3.85,35.36,66,Calm
3.1,35.73,73,Calm
5.71,34.69,75,Anxious
3.63,36.31,68,Calm
4.03,37.13,64,Relax
3.56,36.01,73,Calm
4.63,36.87,80,Stress
4.94,36.85,82,Stress
5.1,34.59,71,Anxious
3.36,36.11,70,Relax
5.95,37.31,95,Stress
3.61,35.71,66,Calm
3.64,35.65,72,Calm
3.98,36.08,70,Relax
3.51,35.6,66,Calm
3.67,35.29,71,Calm
4.31,35.69,66,Calm
5.6,37.79,81,Stress
5.02,35.31,72,Anxious
3.25,37.27,67,Relax
6.3,37.8,85,Stress
3.4,36.48,72,Calm
4.1,36.04,73,Calm
5.28,35.23,76,Anxious
3.81,36.87,65,Relax
3.75,35.88,73,Calm
3.12,36.44,67,Calm
4.29,35.1,71,Calm
3.37,36.34,74,Calm
3.99,35.12,74,Calm
4.91,37.9,90,Stress
4.01,35.59,69,Calm
6.37,37.89,80,Stress
6.49,38.0,82,Stress
4.76,37.26,91,Stress
3.55,37.32,62,Relax
5.11,37.31,80,Stress
6.4,35.33,73,Anxious
3.17,36.2,61,Relax
5.42,34.73,76,Anxious
5.95,34.81,78,Anxious
6.32,36.88,81,Stress
3.42,35.64,65,Calm
4.47,35.2,67,Calm
5.64,35.33,70,Anxious
4.04,36.42,67,Calm
5.67,37.75,84,Stress
5.23,36.56,81,Stress
3.37,36.32,61,Relax
4.31,35.84,74,Calm
5.36,35.89,75,Anxious
4.32,37.22,60,Relax
4.17,36.39,71,Calm
4.22,37.3,64,Relax
3.57,36.05,65,Calm
4.22,36.33,67,Relax
4.31,36.23,68,Calm
3.49,35.29,66,Calm
3.96,36.42,66,Relax
5.5,35.77,70,Anxious
3.27,36.46,69,Calm
3.52,35.89,70,Calm
4.73,37.98,86,Stress
3.0,36.06,73,Calm
6.11,35.91,76,Anxious
